NM0:vgs X,NM0:vgs Y,NM0:vds X,NM0:vds Y,NM0:vth X,NM0:vth Y,NM0:vdsat X,NM0:vdsat Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:gds X,NM0:gds Y,NM0:gm X,NM0:gm Y,NM0:cgs X,NM0:cgs Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y,NM0:cdb X,NM0:cdb Y,NM0:self_gain X,NM0:self_gain Y
0.3280000000000002,0.3280000000000002,0.3280000000000002,0.2,0.3280000000000002,0.2337845729304348,0.3280000000000002,0.1225895690002229,0.3280000000000002,14.50935393805399,0.3280000000000002,6.553055488218667e-06,0.3280000000000002,0.0002844388868201243,0.3280000000000002,-1.026497215135004e-13,0.3280000000000002,1.960382853969304e-05,0.3280000000000002,-1.886568445110423e-14,0.3280000000000002,-3.928753201667683e-15,0.3280000000000002,-5.714479018199021e-15,0.3280000000000002,43.40553613982048
0.3360000000000002,0.3360000000000002,0.3360000000000002,0.2,0.3360000000000002,0.2337845729304348,0.3360000000000002,0.1284473671238149,0.3360000000000002,13.86543700848544,0.3360000000000002,7.908317721901414e-06,0.3360000000000002,0.0003044799575502948,0.3360000000000002,-1.039355769954526e-13,0.3360000000000002,2.195963656731639e-05,0.3360000000000002,-1.89862806383366e-14,0.3360000000000002,-4.070973551693501e-15,0.3360000000000002,-5.747443563399428e-15,0.3360000000000002,38.50122975042637
0.3440000000000003,0.3440000000000003,0.3440000000000003,0.2,0.3440000000000003,0.2337845729304348,0.3440000000000003,0.1344096469214773,0.3440000000000003,13.24561614639228,0.3440000000000003,9.552406464246351e-06,0.3440000000000003,0.0003241798181271257,0.3440000000000003,-1.050825924243436e-13,0.3440000000000003,2.447449892456304e-05,0.3440000000000003,-1.909044815144601e-14,0.3440000000000003,-4.229106706660679e-15,0.3440000000000003,-5.782963623829975e-15,0.3440000000000003,33.93697905763291
0.3520000000000003,0.3520000000000003,0.3520000000000003,0.2,0.3520000000000003,0.2337845729304348,0.3520000000000003,0.1404628188024973,0.3520000000000003,12.6504540147521,0.3520000000000003,1.154636286200831e-05,0.3520000000000003,0.0003433980715048015,0.3520000000000003,-1.061119238467856e-13,0.3520000000000003,2.714511835758223e-05,0.3520000000000003,-1.918075000692145e-14,0.3520000000000003,-4.404766905414881e-15,0.3520000000000003,-5.821282907986508e-15,0.3520000000000003,29.74080025102146
0.3600000000000003,0.3600000000000003,0.3600000000000003,0.2,0.3600000000000003,0.2337845729304348,0.3600000000000003,0.1465944997818755,0.3600000000000003,12.08000105667574,0.3600000000000003,1.396103905178045e-05,0.3600000000000003,0.0003620026959762435,0.3600000000000003,-1.070407039563676e-13,0.3600000000000003,2.996710797296333e-05,0.3600000000000003,-1.925924150104263e-14,0.3600000000000003,-4.599716533659923e-15,0.3600000000000003,-5.86265494211901e-15,0.3600000000000003,25.92949526418504
0.3680000000000003,0.3680000000000003,0.3680000000000003,0.2,0.3680000000000003,0.2337845729304348,0.3680000000000003,0.1527935279728126,0.3680000000000003,11.53391102949875,0.3680000000000003,1.687670903446195e-05,0.3680000000000003,0.0003798700283924729,0.3680000000000003,-1.078827352632584e-13,0.3680000000000003,3.293505797153096e-05,0.3680000000000003,-1.932756477325611e-14,0.3680000000000003,-4.815869503159346e-15,0.3680000000000003,-5.90734268746484e-15,0.3680000000000003,22.50853692012967
0.3760000000000003,0.3760000000000003,0.3760000000000003,0.2,0.3760000000000003,0.2337845729304348,0.3760000000000003,0.1590499406164262,0.3760000000000003,11.01155780320515,0.3760000000000003,2.038165020376379e-05,0.3760000000000003,0.0003968852158556887,0.3760000000000003,-1.086490871341869e-13,0.3760000000000003,3.604260386687524e-05,0.3760000000000003,-1.938702876390463e-14,0.3760000000000003,-5.055292031280264e-15,0.3760000000000003,-5.955617637527389e-15,0.3760000000000003,19.47267330603082
0.3840000000000003,0.3840000000000003,0.3840000000000003,0.2,0.3840000000000003,0.2337845729304348,0.3840000000000003,0.16535492475344,0.3840000000000003,10.51214774558977,0.3840000000000003,2.456945153866535e-05,0.3840000000000003,0.0004129434576846419,0.3840000000000003,-1.093485965194002e-13,0.3840000000000003,3.92825013195053e-05,0.3840000000000003,-1.943867541276044e-14,0.3840000000000003,-5.320199979673676e-15,0.3840000000000003,-6.007758269674391e-15,0.3840000000000003,16.80719071139158
0.3920000000000003,0.3920000000000003,0.3920000000000003,0.2,0.3920000000000003,0.2337845729304348,0.3920000000000003,0.1717007486759131,0.3920000000000003,10.03482167837081,0.3920000000000003,2.953495130049893e-05,0.3920000000000003,0.0004279521763586454,0.3920000000000003,-1.099882807307137e-13,0.3920000000000003,4.2646714618086e-05,0.3920000000000003,-1.948333375211115e-14,0.3920000000000003,-5.612951791254456e-15,0.3920000000000003,-6.064047734368402e-15,0.3920000000000003,14.4896862027809
0.4000000000000003,0.4000000000000003,0.4000000000000003,0.2,0.4000000000000003,0.2337845729304348,0.4000000000000003,0.1780806810998996,0.4000000000000003,9.578739963989605,0.4000000000000003,3.536895652795598e-05,0.4000000000000003,0.0004418339975471774,0.4000000000000003,-1.105736741791165e-13,0.4000000000000003,4.61265259533434e-05,0.4000000000000003,-1.95216637920075e-14,0.4000000000000003,-5.93603596979824e-15,0.4000000000000003,-6.124770675038675e-15,0.4000000000000003,12.49214115768293
0.4080000000000003,0.4080000000000003,0.4080000000000003,0.2,0.4080000000000003,0.2337845729304348,0.4080000000000003,0.1844889037344172,0.4080000000000003,9.143144553957871,0.4080000000000003,4.215221200481481e-05,0.4080000000000003,0.0004545301327068235,0.4080000000000003,-1.111091017484455e-13,0.4080000000000003,4.971267051794424e-05,0.4080000000000003,-1.955419204201044e-14,0.4080000000000003,-6.292051994121882e-15,0.4080000000000003,-6.190209086433513e-15,0.4080000000000003,10.78306715327075
0.4160000000000003,0.4160000000000003,0.4160000000000003,0.2,0.4160000000000003,0.2337845729304348,0.4160000000000003,0.190920421700872,0.4160000000000003,8.727393518712461,0.4160000000000003,4.994938101450227e-05,0.4160000000000003,0.0004660035250256845,0.4160000000000003,-1.115979008235681e-13,0.4160000000000003,5.339549821243329e-05,0.4160000000000003,-1.958134032013129e-14,0.4160000000000003,-6.683683571331266e-15,0.4160000000000003,-6.260637143291911e-15,0.4160000000000003,9.329515512722477
0.4240000000000003,0.4240000000000003,0.4240000000000003,0.2,0.4240000000000003,0.2337845729304348,0.4240000000000003,0.1973709751509236,0.4240000000000003,8.330966915441344,0.4240000000000003,5.880395903822598e-05,0.4240000000000003,0.0004762410329337092,0.4240000000000003,-1.120426026879177e-13,0.4240000000000003,5.71651571503475e-05,0.4240000000000003,-1.960344925330269e-14,0.4240000000000003,-7.113663236950653e-15,0.4240000000000003,-6.336314967849163e-15,0.4240000000000003,8.09879199841162
