NM0:vgs X,NM0:vgs Y,NM0:vds X,NM0:vds Y,NM0:vth X,NM0:vth Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:self_gain X,NM0:self_gain Y,NM0:gds X,NM0:gds Y,NM0:gm X,NM0:gm Y,NM0:cgs X,NM0:cgs Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y,NM0:cdb X,NM0:cdb Y,NM0:vdsat X,NM0:vdsat Y
0.3360000000000002,0.3360000000000002,0.3360000000000002,0.2,0.3360000000000002,0.2298855757036051,0.3360000000000002,13.6036150058756,0.3360000000000002,38.95155108698662,0.3360000000000002,6.020832045134351e-06,0.3360000000000002,0.0002345207469922168,0.3360000000000002,-1.380751431645779e-13,0.3360000000000002,1.723959013055941e-05,0.3360000000000002,-2.341521921029529e-14,0.3360000000000002,-4.645370646075093e-15,0.3360000000000002,-5.929445635000525e-15,0.3360000000000002,0.1315666806481368
0.3440000000000003,0.3440000000000003,0.3440000000000003,0.2,0.3440000000000003,0.2298855757036051,0.3440000000000003,12.99581870855084,0.3440000000000003,33.98148008136392,0.3440000000000003,7.333113098860717e-06,0.3440000000000003,0.0002491900367033243,0.3440000000000003,-1.395190977316885e-13,0.3440000000000003,1.917463164842681e-05,0.3440000000000003,-2.354393552660286e-14,0.3440000000000003,-4.881719103580036e-15,0.3440000000000003,-5.981286145431137e-15,0.3440000000000003,0.1376151813304777
0.3520000000000003,0.3520000000000003,0.3520000000000003,0.2,0.3520000000000003,0.2298855757036051,0.3520000000000003,12.41266557477991,0.3520000000000003,29.49063546682432,0.3520000000000003,8.933860071268356e-06,0.3520000000000003,0.0002634652106733922,0.3520000000000003,-1.408190992518238e-13,0.3520000000000003,2.122551430141198e-05,0.3520000000000003,-2.365550114267149e-14,0.3520000000000003,-5.144645131786816e-15,0.3520000000000003,-6.037345908691583e-15,0.3520000000000003,0.1437514789276949
0.3600000000000003,0.3600000000000003,0.3600000000000003,0.2,0.3600000000000003,0.2298855757036051,0.3600000000000003,11.85396610159125,0.3600000000000003,25.4796184836929,0.3600000000000003,1.088119712944112e-05,0.3600000000000003,0.0002772487515040141,0.3600000000000003,-1.419954503015086e-13,0.3600000000000003,2.338869110393495e-05,0.3600000000000003,-2.375236069253254e-14,0.3600000000000003,-5.436849975633844e-15,0.3600000000000003,-6.097999905164236e-15,0.3600000000000003,0.1499638670258896
0.3680000000000003,0.3680000000000003,0.3680000000000003,0.2,0.3680000000000003,0.2298855757036051,0.3680000000000003,11.31919332544987,0.3680000000000003,21.93684459810919,0.3680000000000003,1.324023097103738e-05,0.3680000000000003,0.0002904488892547194,0.3680000000000003,-1.430644264997335e-13,0.3680000000000003,2.565985763351005e-05,0.3680000000000003,-2.383646011098154e-14,0.3680000000000003,-5.761257053433205e-15,0.3680000000000003,-6.163636080115214e-15,0.3680000000000003,0.156241841773776
0.3760000000000003,0.3760000000000003,0.3760000000000003,0.2,0.3760000000000003,0.2298855757036051,0.3760000000000003,10.80760070910681,0.3760000000000003,18.84029975854003,0.3760000000000003,1.608150003863977e-05,0.3760000000000003,0.0003029802812949464,0.3760000000000003,-1.440390119434408e-13,0.3760000000000003,2.803400027926959e-05,0.3760000000000003,-2.390934544235585e-14,0.3760000000000003,-6.121008728570858e-15,0.3760000000000003,-6.234653142595191e-15,0.3760000000000003,0.1625760656863732
0.3840000000000003,0.3840000000000003,0.3840000000000003,0.2,0.3840000000000003,0.2298855757036051,0.3840000000000003,10.31833309248946,0.3840000000000003,16.1597545328932,0.3840000000000003,1.9478354220495e-05,0.3840000000000003,0.0003147654229079435,0.3840000000000003,-1.449295083278295e-13,0.3840000000000003,3.050545277893152e-05,0.3840000000000003,-2.397224389860961e-14,0.3840000000000003,-6.519456551032218e-15,0.3840000000000003,-6.311457231644242e-15,0.3840000000000003,0.1689583084084056
0.3920000000000003,0.3920000000000003,0.3920000000000003,0.2,0.3920000000000003,0.2298855757036051,0.3920000000000003,9.850523999540874,0.3920000000000003,13.85921186848832,0.3920000000000003,2.350327035473746e-05,0.3920000000000003,0.0003257368034486671,0.3920000000000003,-1.45744033078022e-13,0.3920000000000003,3.306796709149952e-05,0.3920000000000003,-2.402612976145589e-14,0.3920000000000003,-6.960143342933165e-15,0.3920000000000003,-6.394457278200112e-15,0.3920000000000003,0.1753813719739972
0.4000000000000003,0.4000000000000003,0.4000000000000003,0.2,0.4000000000000003,0.2298855757036051,0.4000000000000003,9.403372243936612,0.4000000000000003,11.89935552996126,0.4000000000000003,2.822334324364594e-05,0.4000000000000003,0.0003358395955002731,0.4000000000000003,-1.464889240870167e-13,0.4000000000000003,3.571480387994889e-05,0.4000000000000003,-2.407177777304767e-14,0.4000000000000003,-7.446775411461402e-15,0.4000000000000003,-6.484058913905176e-15,0.4000000000000003,0.18183900684763
0.4080000000000003,0.4080000000000003,0.4080000000000003,0.2,0.4080000000000003,0.2298855757036051,0.4080000000000003,8.976191657041841,0.4080000000000003,10.23979296074234,0.4080000000000003,3.369545101621475e-05,0.4080000000000003,0.0003450344421248742,0.4080000000000003,-1.471690683174732e-13,0.4080000000000003,3.843884525974638e-05,0.4080000000000003,-2.410980643952321e-14,0.4080000000000003,-7.983183183882847e-15,0.4080000000000003,-6.580656815152742e-15,0.4080000000000003,0.18832582377532
